SVM,nonSVM,RFR,RFC
0.551111,0.724444,0.804444,0.911111
0.600000,0.764444,0.804444,0.871111
0.591111,0.693333,0.742222,0.853333
0.626667,0.688889,0.782222,0.853333
0.595556,0.675556,0.804444,0.817778
0.537778,0.724444,0.728889,0.835556
0.591111,0.711111,0.760000,0.871111
0.573333,0.675556,0.800000,0.880000
0.617778,0.671111,0.795556,0.844444
0.555556,0.631111,0.728889,0.857778
0.600000,0.715556,0.786667,0.884444
0.568889,0.742222,0.733333,0.813333
0.591111,0.688889,0.782222,0.848889
0.577778,0.680000,0.764444,0.844444
0.573333,0.693333,0.782222,0.871111
0.622222,0.684444,0.764444,0.857778
0.564444,0.693333,0.804444,0.862222
0.613333,0.666667,0.826667,0.875556
0.542222,0.680000,0.768889,0.853333
0.568889,0.711111,0.791111,0.822222
0.622222,0.720000,0.746667,0.875556
0.622222,0.688889,0.768889,0.893333
0.560000,0.697778,0.720000,0.888889
0.528889,0.720000,0.777778,0.844444
0.537778,0.715556,0.795556,0.844444
0.604444,0.724444,0.808889,0.844444
0.586667,0.671111,0.808889,0.835556
0.564444,0.733333,0.728889,0.866667
0.577778,0.680000,0.804444,0.884444
0.586667,0.644444,0.773333,0.875556
0.573333,0.684444,0.764444,0.888889
0.573333,0.671111,0.751111,0.866667
0.542222,0.728889,0.755556,0.844444
0.617778,0.648889,0.768889,0.840000
0.577778,0.693333,0.751111,0.897778
0.546667,0.728889,0.746667,0.813333
0.600000,0.653333,0.791111,0.848889
0.604444,0.684444,0.826667,0.844444
0.591111,0.693333,0.728889,0.826667
0.564444,0.751111,0.777778,0.831111
0.604444,0.715556,0.751111,0.791111
0.613333,0.737778,0.795556,0.866667
0.626667,0.680000,0.760000,0.924444
0.586667,0.702222,0.786667,0.844444
0.604444,0.680000,0.786667,0.880000
0.515556,0.697778,0.768889,0.862222
0.528889,0.711111,0.760000,0.848889
0.542222,0.662222,0.804444,0.844444
0.568889,0.737778,0.764444,0.853333
0.600000,0.764444,0.764444,0.884444
0.595556,0.702222,0.782222,0.835556
0.573333,0.760000,0.742222,0.822222
0.555556,0.715556,0.800000,0.840000
0.582222,0.671111,0.777778,0.844444
0.577778,0.684444,0.773333,0.857778
0.600000,0.728889,0.773333,0.871111
0.560000,0.644444,0.746667,0.835556
0.555556,0.688889,0.791111,0.857778
0.595556,0.653333,0.777778,0.853333
0.600000,0.680000,0.764444,0.871111
0.560000,0.728889,0.768889,0.826667
0.613333,0.688889,0.768889,0.866667
0.591111,0.697778,0.786667,0.911111
0.600000,0.671111,0.746667,0.848889
0.555556,0.746667,0.751111,0.826667
0.555556,0.693333,0.795556,0.893333
0.586667,0.693333,0.813333,0.897778
0.635556,0.675556,0.777778,0.848889
0.568889,0.693333,0.764444,0.848889
0.591111,0.680000,0.760000,0.791111
0.586667,0.675556,0.768889,0.880000
0.577778,0.715556,0.786667,0.857778
0.591111,0.702222,0.768889,0.884444
0.582222,0.697778,0.791111,0.857778
0.546667,0.711111,0.831111,0.853333
0.551111,0.688889,0.755556,0.813333
0.582222,0.693333,0.782222,0.826667
0.617778,0.728889,0.768889,0.853333
0.631111,0.728889,0.751111,0.888889
0.551111,0.702222,0.768889,0.853333
0.604444,0.706667,0.755556,0.826667
0.537778,0.675556,0.795556,0.813333
0.635556,0.688889,0.706667,0.840000
0.582222,0.711111,0.808889,0.853333
0.537778,0.697778,0.835556,0.835556
0.528889,0.662222,0.773333,0.848889
0.600000,0.751111,0.777778,0.853333
0.591111,0.702222,0.777778,0.871111
0.573333,0.720000,0.760000,0.862222
0.622222,0.693333,0.760000,0.902222
0.635556,0.666667,0.777778,0.893333
0.568889,0.728889,0.773333,0.844444
0.573333,0.688889,0.777778,0.884444
0.644444,0.711111,0.760000,0.871111
0.524444,0.693333,0.786667,0.857778
0.582222,0.688889,0.786667,0.804444
0.560000,0.751111,0.755556,0.862222
0.573333,0.706667,0.822222,0.835556
0.573333,0.662222,0.737778,0.862222
0.595556,0.693333,0.768889,0.857778
